ID,Question (English),Options (English),Correct Answer,Question (Spanish),Options (Spanish)
1076,"Which stages are created by default, with no need to use the CREATE STAGE command? (Choose two.)","A. External stage
B. Internal stage
C. Named stage
D. Table stage
E. User stage","D,E",,
1077,"While working with unstructured data, which file function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs?","A. BUILD_STAGE_FILE_URL
B. GET_ABSOLUTE_PATH
C. BUILD_SCOPED_FILE_URL
D. GET_PRESIGNED_URL",A,,
1078,Who can create and manage reader accounts? (Choose two.),"A. A user with ACCOUNTADMIN role
B. A user with SECURITYADMIN role
C. A user with SYSADMIN role
D. A user with ORGADMIN role
E. A user with CREATE ACCOUNT privilege","A,E",,
1079,Which command allows for continuous loading of data files as soon as they are available in a stage?,"A. COPY INTO [table]
B. PUT
C. CREATE PIPE
D. GET",C,,
1080,What is an advantage of using database roles instead of granting privileges on objects directly to a share in Snowflake?,"A. Easier management of cross-region data sharing
B. Greater flexibility in including objects from multiple databases
C. More control over object-level access for different user groups
D. Reduction in the number of shares required for different objects in the same database",C,,
1081,"What is the order of precedence (highest to lowest) of network policies when applied at the account, user, and security integrations layers?","A. Account, user, security integration
B. Account, security integration, user
C. User, security integration, account
D. User, account, security integration
Hide Answer
by  NachoPrendes at March 20, 2024, 10:44 p.m.
Comments
NachoPrendesHighly Voted 9 months, 2 weeks ago
Selected Answer: C
Account is overriden by Security Integration, that is overriden by User
https://docs.snowflake.com/en/user-guide/network-policies#:~:text=%27block_access_rule%27)%3B-,Network%20policy%20precedence,-%C2%B6
upvoted 7 times
MatthieuDNMost Recent 5 months, 1 week ago
Selected Answer: C
Agree with the others
upvoted 1 times
56d43d66 months ago
Selected Answer: C
https://docs.snowflake.com/en/user-guide/network-policies#network-policy-precedence
upvoted 1 times
Suggested Answer:C
Community vote distribution
C (92%) 8%
subhataanu7 months, 1 week ago
Selected Answer: C
User->Security Integration -> Account
upvoted 1 times
cybe0017 months, 1 week ago
The order of precedence (highest to lowest) of network policies when applied at the account, user, and security integrations layers in Snowflake is:
D. User, account, security integration
Explanation:
User: Network policies applied at the user level have the highest precedence. This allows specific users to have tailored network policies that
override broader policies.
Account: Network policies applied at the account level come next in precedence. These policies apply to all users within the account unless
overridden by user-specific policies.
Security integration: Network policies applied at the security integration level have the lowest precedence. These policies typically apply to
integrations and third-party services accessing the account.
upvoted 1 times
Jacobr50007 months, 2 weeks ago
Selected Answer: C
""Network policies applied to a user are the most specific network policies. They override both accounts and security integrations.""
upvoted 1 times
Lematthew318 months ago
Selected Answer: B
It's B : https://docs.snowflake.com/en/user-guide/network-policies
The following summarizes the order of precedence:
Account
Network policies applied to an account are the most general network policies. They are overridden by network policies applied to a security
integration or user.
Security Integration
Network policies applied to a security integration override network policies applied to the account, but are overridden by a network policy applied
to a user.
User
Network policies applied to a user are the most specific network policies. They override both accounts and security integrations.
upvoted 1 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1082 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",C,,
1082,"Which type of Snowflake virtual warehouse provides 16 times the memory for each node, and is recommended for larger workloads like Machine Learning (ML) training?","A. A size 6XL warehouse
B. A standard warehouse
C. A multi-cluster warehouse
D. A Snowpark-optimized warehouse",D,,
1083,Which common query issues can be identified by the Query Profile? (Choose two.),"A. Insufficient credit quota
B. Inefficient query pruning
C. Excessive query pruning
D. Exploding joins
E. Credit usage that exceeds a set threshold","B,D",,
1084,"In Snowflake, what allows users to perform recursive queries?","A. QUALIFY
B. LATERAL
C. PIVOT
D. CONNECT BY",D,,
1085,A user wants to create objects within a schema but wants to restrict other users’ ability to grant privileges on these objects. What configuration should be used to create the schema?,"A. Use a regular (non-managed) schema.
B. Use a managed access schema.
C. Use a transient schema.
D. Set the Default_DDL_Collation parameter.",B,,
1086,What is the MOST cost-effective way to resolve memory spillage in a virtual warehouse?,"A. Enable automatic clustering.
B. Enable the query acceleration service.
C. Enable the search optimization service.
D. Convert to a Snowpark-optimized warehouse. 
Hide Answer
by  SSahar at March 24, 2024, 4:15 a.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: D
D - others explanation are good
upvoted 1 times
d22770a8 months, 2 weeks ago
Selected Answer: D
A Snowpark-optimized warehouse is designed to efficiently handle workloads with more complex memory usage patterns, like data processing and
machine learning, by providing optimized resource allocation, which can help mitigate memory spillage without significantly increasing costs.
upvoted 1 times
cybe0011 year, 1 month ago
B. Enable the query acceleration service.
The query acceleration service dynamically adds additional compute resources (more CPU and memory) to a virtual warehouse when queries
require more resources than initially allocated. This can be a cost-effective solution as it only scales up resources temporarily during peak demand,
potentially reducing memory spillage without the need to permanently increase the warehouse size.
upvoted 2 times",D,,
1087,What objects in Snowflake are supported by Dynamic Data Masking? (Choose two.),"A. Views
B. Materialized views
C. Tables
D. External tables
E. Future grants","A,C",,
1088,A user has created a dashboard in Snowflake and wants to share it with colleagues. How can the dashboard be shared?,"A. By creating a private Data Exchange
B. By using the share option within Snowsight
C. By using a Direct Share with another account
D. By creating a listing on Snowflake Marketplace",B,,
1089,When would Snowsight automatically detect if a target account is in a different region and enable cross-cloud auto-fulfillment?,"A. When using a paid listing on the Snowflake Marktetplace
B. When using a private listing on the Snowflake Marketplace
C. When using a personalized listing on the Snowflake Marketplace
D. When using a Direct Share with another account",B,,
1090,Which languages require that User-Defined Function (UDF) handlers be written inline? (Choose two.),"A. Java
B. Javascript
C. Scala
D. Python
E. SQL","B,E",,
1091,Which task privilege does a Snowflake role need in order to suspend or resume a task?,"A. USAGE
B. OPERATE
C. MONITOR
D. OWNERSHIP",B,,
1092,What is a directory table in Snowflake?,"A. A separate database object that is used to store file-level metadata.
B. An object layered on a stage that is used to store file-level metadata.
C. A database object with grantable privileges for unstructured data tasks.
D. A Snowflake table specifically designed for storing unstructured files.",B,,
1093,What factors impact storage costs in Snowflake? (Choose two.),"A. The account type
B. The storage file format
C. The cloud region used by the account
D. The type of data being stored
E. The cloud platform being used
Hide Answer
by  Aparna98 at April 2, 2024, 12:46 p.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: AC
at the Snowflake billing layer your storage charge is simply a flat $/TB‑month rate, and that published rate only varies by:
Account type (On‑Demand vs Capacity pre‑purchase)
Region (US, EU, APAC, etc.)
All of the “cloud platform” differences are already baked into the single per‑TB list prices Snowflake publishes; you as a customer simply pick
On‑Demand or Capacity and a region, and you pay that flat rate. The other choices (file format, data type, underlying provider) don’t change your
Snowflake‑billed per‑TB price.
upvoted 1 times
JRayan4 months, 2 weeks ago
Selected Answer: AC
The monthly costs for storing data in Snowflake is based on a flat rate per terabyte (TB). The amount charged depends on your type of account
(Capacity or On Demand) and region (US or EU).
Suggested Answer:AC
Community vote distribution
AC (91%) 9%
upvoted 1 times
MatthieuDN5 months, 1 week ago
Selected Answer: AC
I think the question is referring to this page https://docs.snowflake.com/en/user-guide/cost-understanding-data-storage so the answer is AC
upvoted 1 times
cybe0017 months, 1 week ago
CE is correct
C. The cloud region used by the account: Storage costs can vary depending on the geographic region where your Snowflake account is hosted.
Different regions might have different pricing due to factors such as local infrastructure costs and demand.
E. The cloud platform being used: Snowflake runs on multiple cloud platforms, including AWS, Azure, and Google Cloud. Each of these cloud
providers has its own pricing model for storage, which can affect the overall storage costs in Snowflake.
upvoted 1 times
Jacobr50007 months, 2 weeks ago
Selected Answer: AC
""The amount charged depends on your type of account (Capacity or On Demand) and region (US or EU)""
upvoted 3 times
Lematthew318 months ago
Selected Answer: AC
It's A & C
upvoted 2 times
peter_43218 months, 2 weeks ago
Selected Answer: CE
A. The account type typically influences compute resource availability and performance levels rather than directly affecting storage costs.
B. The storage file format does not impact the cost in Snowflake as it abstracts file formats in its storage layer, optimizing them internally for
performance and compression regardless of the input format.
D. The type of data being stored does not directly impact costs since Snowflake's storage costs are gen
upvoted 1 times
zzeng8 months, 1 week ago
In this page,
https://docs.snowflake.com/en/user-guide/cost-understanding-data-storage
it mentioned that,
> The amount charged depends on your type of account (Capacity or On Demand) and region (US or EU).
So it should be A and C
upvoted 2 times
Alex_Ovidiu8 months, 3 weeks ago
A,C, E
The monthly costs for storing data in Snowflake are based on a flat rate per terabyte (TB) of consumption (after being compressed). The amount
charged is determined by your account type (capacity or on demand), Cloud Platform, and the region, whether in the United States, Asia, or
Europe.
upvoted 4 times
yaho58 months, 3 weeks ago
Selected Answer: AC
ac - correct
region and account type (Standard, Enterprise, ...)
upvoted 2 times
Aparna989 months ago
https://docs.snowflake.com/en/user-guide/cost-understanding-data-storage
a and c
upvoted 4 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1094 DISCUSSION
Actual exam question from Snowflake's SnowPro Core","A,C",,
1094,Which ACCOUNT_USAGE schema database role provides visibility into policy-related information?,"A. USAGE_VIEWER
B. GOVERNANCE_VIEWER
C. OBJECT_VIEWER
D. SECURITY_VIEWER",B,,
1095,How should clustering be used to optimize the performance of queries that run on a very large table?,"A. Manually re-cluster the table regularly.
B. Choose one high cardinality column as the clustering key.
C. Use the column that is most-frequently used in query select clauses as the clustering key.
D. Assess the average table depth to identify how clustering is impacting the query.",D,,
1096,"Which privilege must be granted by one role to another role, and cannot be revoked?","A. MONITOR
B. OPERATE
C. OWNERSHIP
D. ALL",C,,
1097,How can performance be optimized for a query that returns a small amount of data from a very large base table?,"A. Use clustering keys
B. Create materialized views
C. Use the search optimization service
D. Use the query acceleration service",C,,
1098,A column named “Data” contains VARIANT data and stores values as follows: How will Snowflake extract the employee’s name from the column data?,"A. Data:employee.name
B. DATA:employee.name
C. data:Employee.name
D. data:employee.name",C,,
1099,Use of which Snowflake function is recommended when unloading data from a relational table into a JSON file?,"A. TO_JSON
B. TO_VARIANT
C. OBJECT_INSERT
D. OBJECT_CONSTRUCT",D,,
1100,Which command should be used to generate a single file when unloading data from a Snowflake table into a file?,"A. PARTITION BY [expr]
B. MAX_FILE_SIZE = 0
C. SINGLE = TRUE
D. OVERWRITE = TRUE
Hide Answer
by  koyabashi at Sept. 5, 2024, 5:23 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: C
C - straightforward
upvoted 1 times
athir7 months, 2 weeks ago
Selected Answer: C
C. SINGLE = TRUE
upvoted 1 times",C,,
1101,Which function can be used to convert semi-structured data into rows and columns?,"A. TABLE
B. FLATTEN
C. PARSE_JSON
D. JSON_EXTRACT_PATH_TEXT",B,,
1102,What user setting can be configured to disable Multi-Factor Authentication (MFA) for a Snowflake user? (Choose two.),"A. DISABLE_MFA
B. MINS_TO_BYPASS_MFA
C. PASSWORD
D. MINS_TO_UNLOCK
E. MUST_CHANGE_PASSWORD","A,B",,
1103,Which table type has a Fail-safe period of 7 days?,"A. Temporary table
B. Transient table
C. Permanent table
D. External table",C,,
1104,How does Snowflake enable OAuth?,"A. By creating an external integration
B. By configuring a security integration
C. By establishing IP allowed lists and IP blocked lists
D. By using SnowSQL to enable an external OAuth using the Snowflake protocol",B,,
1105,Which type of workload traditionally benefits from the use of the query acceleration service?,"A. Workloads with a predictable data volume for each query
B. Workloads that include on-demand data analyses
C. Queries with small scans and non-selective filters
D. Queries that do not have filters or aggregation",B,,
1106,Which Snowflake object is supported by both database replication and replication groups?,"A. Pipes
B. Users
C. Stages
D. Materialized views",C,,
1107,"When unloading data, which combination of parameters should be used to differentiate between empty strings and NULL values? (Choose two.)","A. ESCAPE_UNENCLOSED_FIELD
B. REPLACE_INVALID_CHARACTERS
C. FIELD_OPTIONALLY_ENCLOSED_BY
D. EMPTY_FIELD_AS_NULL
E. SKIP_BLANK_LINES","C,D",,
1108,Which role must be used to create resource monitors?,"A. SECURITYADMIN
B. ACCOUNTADMIN
C. SYSADMIN
D. ORGADMIN",B,,
1109,What step does Snowflake recommend when loading data from a stage?,"A. Use PURGE when using the COPY INTO [table] command.
B. Use REMOVE when using the COPY INTO [table] command.
C. Use the LOAD HISTORY function to view the status of loaded files.
D. Use the COPY HISTORY function to update the status of loaded files.",C,,
1110,"How can a user MINIMIZE Continuous Data Protection costs when using large, high-churn, dimension tables?","A. Create transient tables and periodically copy them to permanent tables.
B. Create temporary tables and periodically copy them to permanent tables.
C. Create regular tables with extended Time Travel and Fail-safe settings.
D. Create regular tables with default Time Travel and Fail-safe settings.",A,,
1111,Which Snowsight feature can be used to perform data manipulations and transformations using a programming language?,"A. SnowSQL
B. Dashboards
C. Python worksheets
D. Provider Studio",C,,
1112,"In Snowflake's data security framework, how does column-level security contribute to the protection of sensitive information? (Choose two.)","A. Implementation of column-level security will optimize query performance.
B. Column-level security supports encryption of the entire database.
C. Column-level security ensures that only the table owner can access the data.
D. Column-level security limits access to specific columns within a table based on user privileges.
E. Column-level security allows the application of a masking policy to a column within a table or view.","D,E",,
1113,How does Snowflake utilize clustering information to improve query performance?,"A. It prunes unnecessary micro-partitions based on clustering metadata.
B. It compresses the data within micro-partitions for faster querying.
C. It automatically allocates additional resources to improve query execution.
D. It organizes clustering information to speed-up data retrieval from storage.",A,,
1114,How can staged files be removed during data loading once the files have loaded successfully?,"A. Use the DROP command.
B. Use the PURGE copy option.
C. Use the FORCE = TRUE parameter.
D. Use the LOAD_UNCERTAIN_FILES copy option.",B,,
1115,What objects can be cloned within Snowflake? (Choose two.),"A. Schemas
B. Users
C. External tables
D. Internal named stages
E. External named stages","A,D",,
1116,What can be used to process unstructured data?,"A. External tables
B. The COPY INTO [table] command
C. External functions
D. Snowpipe",A,,
1117,Which type of workload is recommended for Snowpark-optimized virtual warehouses?,"A. Workloads with ad hoc analytics
B. Workloads that have large memory requirements
C. Workloads with unpredictable data volumes for each query
D. Workloads that are queried with small table scans and selective filters",B,,
1119,A query containing a WHERE clause is running longer than expected. The Query Profile shows that all micro-partitions being scanned. How should this query be optimized?,"A. Create a view on the table.
B. Add a clustering key to the table.
C. Add a LIMIT clause to the query.
D. Add a Dynamic Data Masking policy to the table.",B,,
1120,Which access control entity in Snowflake can be created as part of a hierarchy within an account?,"A. Securable object
B. Role
C. Privilege
D. User",B,,
1122,What is the MINIMUM Snowflake edition that must be used in order to see the ACCESS_HISTORY view?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",B,,
1123,Which role is responsible for managing the billing and credit data within Snowflake?,"A. ORGADMIN
B. ACCOUNTADMIN
C. SYSADMIN
D. SECURITYADMIN",B,,
1124,"What can be used to identify the database, schema, stage, and file path to a set of files, and to allow a role that has sufficient privileges on the stage to access the files?","A. A scoped URL
B. A file URL
C. A pre-signed URL
D. A directory table
Hide Answer
by  Rameez1 at July 5, 2024, 1:57 p.m.
Comments
371f005Highly Voted 11 months, 3 weeks ago
Selected Answer: B
https://docs.snowflake.com/en/user-guide/unstructured-intro
upvoted 5 times
d821c69Most Recent 9 months, 2 weeks ago
D. A directory table
upvoted 1 times
Lematthew3110 months, 3 weeks ago
Selected Answer: B
It's B, File URL : URL that identifies the database, schema, stage, and file path to a set of files. A role that has sufficient privileges on the stage can
access the files
upvoted 2 times",B,,
1125,Which command is used to remove files from either external cloud storage or an internal stage?,"A. DELETE
B. REMOVE
C. TRUNCATE
D. DROP
Hide Answer
by  NachoPrendes at July 8, 2024, 10:58 a.m.
Comments
athir7 months, 2 weeks ago
Selected Answer: B
B. REMOVE
Removes files from either an external (external cloud storage) or internal (i.e. Snowflake) stage. https://docs.snowflake.com/en/sql-
reference/sql/remove
upvoted 1 times",B,,
1126,"How does Snowflake recommend defining a clustering key on a high-cardinality column that includes a 15 digit ID numbered column, ID_NUMBER?","A. TRUNC(ID_NUMBER, -6)
B. TRUNC(ID_NUMBER, 5)
C. ID_NUMBER*100
D. TO_CHAR(ID_NUMBER)
Hide Answer
by  Rameez1 at July 5, 2024, 2:03 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: A
A - Using Trunc(ID_NUMBER, -6) we reduce the cardinality of the column by turning the last 6 digits of the ID to zeros
https://docs.snowflake.com/fr/sql-reference/functions/trunc
upvoted 1 times
athir7 months, 2 weeks ago
Selected Answer: A
A. As another example, you can truncate a number to fewer significant digits by using the TRUNC functions and a negative value for the scale (e.g.
TRUNC(123456789, -5)).
upvoted 1 times",A,,
1127,"While unloading data into a stage, how can the user ensure that the output will be a single file?","A. Use the COPY option FILES=SINGLE.
B. Use the COPY option SINGLE=TRUE.
C. Use the GET option SINGLE=TRUE.
D. Use the GET option FILES=SINGLE.",B,,
1128,Which query types will have significant performance improvement when run using the search optimization service? (Choose two.),"A. Range searches
B. Equality searches
C. Substring searches
D. Queries with IN predicates
E. Queries with aggregation","B,D",,
1129,Which Query Profile operator is considered a DML operator?,"A. ExternalScan
B. Flatten
C. Merge
D. Sort",C,,
1130,Masking policies are created at what level in Snowflake?,"A. Table
B. Column
C. Schema
D. Database
Hide Answer
by  NachoPrendes at July 8, 2024, 11:47 a.m.
Comments
bor4un5 months, 1 week ago
Selected Answer: C
https://docs.snowflake.com/en/sql-reference/sql/create-masking-policy
upvoted 1 times
Mitchdu6 months ago
Selected Answer: C
C. schema
https://docs.snowflake.com/en/user-guide/security-column-intro
""What are masking policies?
Snowflake supports masking policies as a schema-level object to protect sensitive data....""
upvoted 1 times
Vicky45946 months, 3 weeks ago
Selected Answer: B
Masking policies are applied to columns to control how sensitive data is displayed",C,,
1132,What are type predicates used for?,"A. Extracting data from a VARIANT column
B. Casting a value in a VARIANT column to a particular data type
C. Determining if a value in a VARIANT column is a particular data type
D. Manipulating objects and arrays in a VARIANT column",C,,
1133,Which table function is used to perform additional processing on the results of a previously-run query?,"A. QUERY_HISTORY
B. RESULT_SCAN
C. DESCRIBE_RESULTS
D. QUERY_HISTORY_BY_SESSION",,,
1134,Which actions can be performed using a resource monitor in Snowflake? (Choose two.),"A. Monitor the performance of individual queries in real-time.
B. Automatically allocate more storage space to a virtual warehouse.
C. Modify the queries being executed within a virtual warehouse.
D. Suspend a virtual warehouse when its credit usage reaches a defined limit.
E. Trigger a notification to account administrators when credit usage reaches a specified threshold.","D,E",,
1135,Which Snowflake native tool can be used to diagnose and troubleshoot network connections?,"A. SnowSQL
B. Snowflake Python connector
C. Snowsight
D. SnowCD 
Hide Answer
by  theriderzone at Sept. 29, 2024, 8:58 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: D
D. It is litterally the definition of the tool https://docs.snowflake.com/en/user-guide/snowcd
upvoted 2 times
Cecenceto7 months, 1 week ago
Selected Answer: D
SnowCD
upvoted 3 times
theriderzone9 months, 1 week ago
Selected Answer: C
C, SnowCD
upvoted 1 times
Cecenceto8 months, 2 weeks ago
SnowCD is D, not C.",D,,
1136,Why would a Snowflake user load JSON data into a VARIANT column instead of a string column?,"A. A VARIANT column is more secure than a string column.
B. A VARIANT column compresses data and a string column does not.
C. A VARIANT column can be used to create a data hierarchy and a string column cannot.
D. A VARIANT column will have a better query performance than a string column.",C,,
1138,Which security models are used in Snowflake to manage access control? (Choose two.),"A. Discretionary Access Control (DAC)
B. Identity Access Management (IAM)
C. Mandatory Access Control (MAC)
D. Role-Based Access Control (RBAC)
E. Security Assertion Markup Language (SAML)","A,D",,
1139,Which Snowflake governance feature allows users to assign metadata labels to improve data governance and database access control?,"A. Secure functions
B. Secure views
C. Object tagging
D. Row-level security",C,,
1140,What is the MINIMUM Snowflake edition that supports database replication?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",A,,
1141,"Which Snowflake function and command combination should be used to convert rows in a relational table to a single VARIANT column, and unload the rows into a file in JSON format? (Choose two.)","A. PUT
B. GET
C. COPY
D. EXPORT
E. OBJECT_CONSTRUCT","C,E",,
1143,Which privilege grants the ability to set a column-level security masking policy on a table or view column?,"A. APPLY
B. CREATE
C. SET
D. MODIFY",A,,
1144,"When sharing data in Snowflake, what privileges does a Provider need to grant along with a share? (Choose two.)","A. USAGE on the specific tables in the database.
B. MODIFY on the specific tables in the database.
C. SELECT on the specific tables in the database.
D. USAGE on the database and the schema containing the tables to share.
E. OPERATE on the database and the schema containing the tables to share.","C,D",,
1146,Which data type can be used for floating-point numbers without losing precision?,"A. BINARY
B. VARIANT
C. INTEGER
D. DOUBLE",D,,
1147,Which data sharing option allows a Snowflake user to set up and manage a group of accounts and offer a share to that group?,"A. Free listing
B. Paid listing
C. Direct share
D. Data Exchange",D,,
1149,What are the possible values within a METADATA$ACTION column in a Snowflake stream? (Choose two.),"A. INSERT
B. UPDATE
C. DELETE
D. TRUNCATE
E. UPSERT",AC,,
1150,"What is the MINIMUM Snowflake edition that offers data protection for extremely sensitive data, such as Protected Health Information (PHI)?","A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",C,,
1151,"What takes the highest precedence in Snowflake file format options, when specified in multiple locations during data loading?","A. The stage definition
B. The table definition
C. The use of a COPY INTO [table] statement
D. The use of a COPY INTO [location] statement",B,,
1152,Which service or tool is a Command Line Interface (CLI) client used for connecting to Snowflake to execute SQL queries?,"A. Snowsight
B. SnowCD
C. Snowpark
D. SnowSQL",D,,
1153,What Snowflake objects can contain custom application logic written in JavaScript? (Choose two.),"A. Stored procedures
B. Stages
C. Tasks
D. Views
E. User-Defined Functions (UDFs)",AE,,
1154,What is the MINIMUM Snowflake edition required to use the column-level security feature?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)
Hide Answer
by  GCPete at July 16, 2024, 12:58 a.m.
Comments
95706e31 month, 3 weeks ago
Selected Answer: B
https://docs.snowflake.com/en/user-guide/intro-editions
upvoted 1 times
MatthieuDN5 months, 1 week ago
Selected Answer: B
B - enterprise
upvoted 1 times
gyapolade6 months, 4 weeks ago
Selected Answer: B
This feature requires Enterprise Edition (or higher). To inquire about upgrading, please contact Snowflake Support.
https://docs.snowflake.com/en/user-guide/security-column-intro
upvoted 2 times
athir7 months, 2 weeks ago
Suggested Answer:B
Community vote distribution
B (86%) 14%
Selected Answer: B
B
upvoted 1 times
metiii8 months, 2 weeks ago
Selected Answer: B
B
upvoted 1 times
md_20008 months, 3 weeks ago
Selected Answer: C
C. Business Critical
Explanation:
Column-level security in Snowflake, such as column masking policies, is available starting from the Business Critical edition, providing more
granular control over data access.
Why the others are wrong:
A. Standard: The Standard edition does not support column-level security features.
B. Enterprise: Although the Enterprise edition includes many features, column-level security is not available in this edition.
D. Virtual Private Snowflake (VPS): While VPS includes enhanced security features, it is not the minimum edition for column-level security.
upvoted 1 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1155 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",B,,
1155,Which command should be used to assign a key to a Snowflake user who needs to connect using key pair authentication?,"A. ALTER USER jsmith SET RSA_P8_KEY='MIIBIjANBgkqh...';
B. ALTER USER jsmith SET ENCRYPTED_KEY='MIIBIjANBgkqh...';
C. ALTER USER jsmith SET RSA_PRIVATE_KEY='MIIBIjANBgkqh...';
D. ALTER USER jsmith SET RSA_PUBLIC_KEY='MIIBIjANBgkqh...';",,,
1157,What optional properties can a Snowflake user set when creating a virtual warehouse? (Choose two.),"A. Auto-suspend
B. Cache size
C. Default role
D. Resource monitor
E. Storage size",AD,,
1158,What is the purpose of the use of the VALIDATE command?,"A. To view any queries that encountered an error
B. To verify that a SELECT query will run without error
C. To prevent a PUT statement from running if an error occurs
D. To see all errors from a previously run COPY INTO [table] statement",D,,
1159,Which function is used to unload a relational table into a JSON file?,"A. PARSE_JSON
B. JSON_EXTRACT_PATH_TEXT
C. OBJECT_CONSTRUCT
D. TO_JSON 
Hide Answer
by  md_2000 at Oct. 13, 2024, 11:26 a.m.
Comments
pieterjacobi15 months ago
Selected Answer: D
The TO_JSON function in Snowflake is used to convert relational data into a JSON-formatted string. It is the appropriate function to use when
unloading a relational table into a JSON file, as it serializes the data into a JSON representation.
upvoted 1 times
MatthieuDN5 months, 1 week ago
Selected Answer: C
I'm changing my answer to C
upvoted 1 times
NPass5 months ago
Answer is D.
OBJECT_CONSTRUCT Returns an OBJECT constructed from the arguments -- NOT JSON
upvoted 1 times
MatthieuDN5 months, 1 week ago
Suggested Answer:D
Community vote distribution
D (83%) C (17%)
Selected Answer: D
D is correct, I think the first two are for unloading json and C needs the COPY INTO [location] to successfully unload json
upvoted 2 times
md_20008 months, 3 weeks ago
Selected Answer: D
D. TO_JSON
Explanation:
TO_JSON is used to convert relational data into JSON format, which is ideal when unloading a relational table into a JSON file.
Why the others are wrong:
A. PARSE_JSON: This function is used to parse a JSON string into a Snowflake-compatible format, not for converting relational data into JSON.
B. JSON_EXTRACT_PATH_TEXT: This function extracts specific values from JSON data, but it doesn't convert relational data into JSON.
C. OBJECT_CONSTRUCT: This creates a JSON object from key-value pairs, but it doesn't convert the entire relational data into JSON format.
Example of using TO_JSON:
SELECT TO_JSON(OBJECT_CONSTRUCT(*)) FROM my_table;
upvoted 2 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1161 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",D,,
1161,Which command is used to unload data from a Snowflake table into a Snowflake stage?,"A. GET
B. CREATE STAGE
C. COPY INTO [location]
D. PUT",C,,
1162,"What should an account administrator do to help a user log into Snowflake, if the user cannot authenticate using Multi-Factor Authentication (MFA)?","A. Set DISABLE_MFA to TRUE for the user.
B. Set MINS_TO_BYPASS_MFA equal to 0 for the user.
C. Set ALLOW_ID_TOKEN to FALSE for the user.
D. Set ALLOW_CLIENT_MFA_CACHING to FALSE for the user.",,,
1163,Which command can be executed from a reader account?,"A. INSERT
B. CREATE SHARE
C. SHOW PROCEDURES
D. COPY INTO [location]",D,,
1164,Which command line parameter value can be pre-specified as an environment variable in SnowSQL?,"A. HOST
B. VARIABLE
C. OPTION
D. MFA-PASSCODE",A,,
1165,Which command is used to determine the file name of each row of data from a staged file?,"A. SHOW FILE FORMATS
B. SELECT METADATA$FILE_CONTENT_KEY
C. SELECT METADATA$FILE_ROW_NUMBER
D. SELECT METADATA$FILENAME",D,,
1166,Which Snowflake feature improves the performance of point lookup queries?,"A. Materialized views
B. Automatic clustering
C. Query acceleration service
D. Search optimization service",D,,
1167,What is the impact of selecting one Snowflake edition over another? (Choose two.),"A. The edition will impact the unit costs for storage.
B. The edition will impact which regions can be accessed by the accounts.
C. The edition will determine the unit costs for the compute credits.
D. The edition will impact the total allowed storage space.
E. The edition will set a limit on the number of compute credits that can be consumed.",AC,,
1170,Which command should be used to drop files from an internal or external stage?,"A. DELETE
B. DROP
C. REMOVE
D. TRUNCATE",C,,
1172,What action should be taken if a large number of concurrent queries are queued in a virtual warehouse?,"A. Scale-up by resizing the warehouse.
B. Scale-out with a multi-cluster warehouse.
C. Disable auto-suspend on the warehouse.
D. Enable auto-resume on the warehouse.",,,
1173,Which feature is supported in column-level security in Snowflake?,"A. Object tagging
B. Data classification
C. External tokenization
D. Tag-based masking policies",D,,
1174,A network policy applied at the user level takes precedence over a network policy applied to what Snowflake object?,"A. A role
B. An account
C. A database
D. An organization",B,,
1175,Which Snowflake storage object can be used to store data beyond a single session and will not incur Fail-safe costs?,"A. Permanent table
B. External table
C. Temporary table
D. Transient table",D,,
1179,Using which object-level parameters will help limit query processing and concurrency slowdowns? (Choose two.),"A. MULTI_STATEMENT_COUNT
B. ENABLE_QUERY_ACCELERATION
C. STATEMENT_TIMEOUT_IN_SECONDS
D. STATEMENT_QUEUED_TIMEOUT_IN_SECONDS
E. QUERY_ACCELERATION_MAX_SCALE_FACTOR",BE,,
